"Sepal.Length.Cat","Sepal.Width.Cat","Petal.Length.Cat","Petal.Width.Cat","Species"
"Moyen","Moyen","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Petit","Large","Court","Fin","setosa"
"Moyen","Large","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Moyen","Large","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Moyen","Large","Court","Fin","setosa"
"Moyen","Large","Court","Fin","setosa"
"Moyen","Large","Court","Fin","setosa"
"Moyen","Moyen","Court","Fin","setosa"
"Moyen","Large","Court","Fin","setosa"
"Moyen","Large","Court","Fin","setosa"
"Moyen","Moyen","Court","Fin","setosa"
"Moyen","Large","Court","Fin","setosa"
"Petit","Large","Court","Fin","setosa"
"Moyen","Moyen","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Moyen","Moyen","Court","Fin","setosa"
"Moyen","Moyen","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Moyen","Moyen","Court","Fin","setosa"
"Moyen","Large","Court","Fin","setosa"
"Moyen","Large","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Moyen","Moyen","Court","Fin","setosa"
"Petit","Large","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Moyen","Moyen","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Petit","Étroit","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Moyen","Large","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Moyen","Large","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Moyen","Large","Court","Fin","setosa"
"Petit","Moyen","Court","Fin","setosa"
"Grand","Moyen","Moyen","Moyen","versicolor"
"Grand","Moyen","Moyen","Moyen","versicolor"
"Grand","Moyen","Moyen","Moyen","versicolor"
"Moyen","Étroit","Moyen","Moyen","versicolor"
"Grand","Moyen","Moyen","Moyen","versicolor"
"Moyen","Moyen","Moyen","Moyen","versicolor"
"Grand","Moyen","Moyen","Moyen","versicolor"
"Petit","Étroit","Moyen","Moyen","versicolor"
"Grand","Moyen","Moyen","Moyen","versicolor"
"Moyen","Moyen","Moyen","Moyen","versicolor"
"Petit","Étroit","Moyen","Moyen","versicolor"
"Moyen","Moyen","Moyen","Moyen","versicolor"
"Moyen","Étroit","Moyen","Moyen","versicolor"
"Grand","Moyen","Moyen","Moyen","versicolor"
"Moyen","Moyen","Moyen","Moyen","versicolor"
"Grand","Moyen","Moyen","Moyen","versicolor"
"Moyen","Moyen","Moyen","Moyen","versicolor"
"Moyen","Moyen","Moyen","Moyen","versicolor"
"Grand","Étroit","Moyen","Moyen","versicolor"
"Moyen","Étroit","Moyen","Moyen","versicolor"
"Moyen","Moyen","Moyen","Moyen","versicolor"
"Grand","Moyen","Moyen","Moyen","versicolor"
"Grand","Étroit","Moyen","Moyen","versicolor"
"Grand","Moyen","Moyen","Moyen","versicolor"
"Grand","Moyen","Moyen","Moyen","versicolor"
"Grand","Moyen","Moyen","Moyen","versicolor"
"Grand","Moyen","Moyen","Moyen","versicolor"
"Grand","Moyen","Moyen","Moyen","versicolor"
"Moyen","Moyen","Moyen","Moyen","versicolor"
"Moyen","Moyen","Moyen","Moyen","versicolor"
"Moyen","Étroit","Moyen","Moyen","versicolor"
"Moyen","Étroit","Moyen","Moyen","versicolor"
"Moyen","Moyen","Moyen","Moyen","versicolor"
"Moyen","Moyen","Long","Moyen","versicolor"
"Moyen","Moyen","Moyen","Moyen","versicolor"
"Moyen","Moyen","Moyen","Moyen","versicolor"
"Grand","Moyen","Moyen","Moyen","versicolor"
"Grand","Étroit","Moyen","Moyen","versicolor"
"Moyen","Moyen","Moyen","Moyen","versicolor"
"Moyen","Étroit","Moyen","Moyen","versicolor"
"Moyen","Moyen","Moyen","Moyen","versicolor"
"Grand","Moyen","Moyen","Moyen","versicolor"
"Moyen","Moyen","Moyen","Moyen","versicolor"
"Petit","Étroit","Moyen","Moyen","versicolor"
"Moyen","Moyen","Moyen","Moyen","versicolor"
"Moyen","Moyen","Moyen","Moyen","versicolor"
"Moyen","Moyen","Moyen","Moyen","versicolor"
"Grand","Moyen","Moyen","Moyen","versicolor"
"Moyen","Étroit","Moyen","Moyen","versicolor"
"Moyen","Moyen","Moyen","Moyen","versicolor"
"Grand","Moyen","Long","Épais","virginica"
"Moyen","Moyen","Long","Épais","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Grand","Moyen","Long","Moyen","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Petit","Étroit","Moyen","Moyen","virginica"
"Grand","Moyen","Long","Moyen","virginica"
"Grand","Étroit","Long","Moyen","virginica"
"Grand","Large","Long","Épais","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Moyen","Étroit","Moyen","Épais","virginica"
"Moyen","Moyen","Long","Épais","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Grand","Moyen","Long","Moyen","virginica"
"Grand","Large","Long","Épais","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Moyen","Étroit","Moyen","Moyen","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Moyen","Moyen","Moyen","Épais","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Grand","Moyen","Moyen","Moyen","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Grand","Moyen","Long","Moyen","virginica"
"Grand","Moyen","Moyen","Moyen","virginica"
"Grand","Moyen","Moyen","Moyen","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Grand","Moyen","Long","Moyen","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Grand","Large","Long","Épais","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Grand","Moyen","Long","Moyen","virginica"
"Grand","Moyen","Long","Moyen","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Grand","Moyen","Long","Moyen","virginica"
"Moyen","Moyen","Moyen","Moyen","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Moyen","Moyen","Long","Épais","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Grand","Étroit","Moyen","Épais","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Grand","Moyen","Long","Épais","virginica"
"Moyen","Moyen","Long","Moyen","virginica"
